credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,churn_probability(%)
619,1,0,42,2,0.0,1,1,1,0.5067348931822989,1,27.715645
608,2,0,41,1,0.334031478677259,1,0,1,0.5627087386845444,0,48.7792
502,1,0,42,8,0.6363571759354565,3,1,0,0.5696543519906151,1,62.318523
699,1,0,39,1,0.0,2,0,0,0.46912005096486714,0,2.7737684
850,2,0,43,2,0.5002462155052676,1,1,1,0.3954003607344502,0,38.98037
645,2,1,44,8,0.45339436422174445,2,1,0,0.7487971601287922,1,20.70516
822,1,1,50,7,0.0,2,1,1,0.050260899915941966,0,8.349303
376,0,0,29,4,0.4585397202505608,4,1,0,0.5967334880481086,1,89.18046
501,1,1,44,4,0.5661703921301275,2,0,1,0.37468038197647874,0,4.2141213
684,1,1,27,2,0.5364882610306042,1,1,1,0.3586049967771922,0,7.389747
528,1,1,31,6,0.4066062041365082,2,0,0,0.40088598461153035,0,0.68380463
497,2,1,24,3,0.0,2,1,0,0.3819286241836095,0,3.529409
476,1,0,34,10,0.0,2,1,0,0.13125953528561976,0,2.5932155
549,1,0,25,5,0.0,2,0,0,0.9543221877689319,0,0.46109796
635,2,0,35,7,0.0,2,1,1,0.32973183939066175,0,5.387747
616,0,1,45,3,0.5704683124530762,2,0,1,0.32160911367035555,0,26.422256
653,0,1,58,1,0.5285129113577549,1,1,0,0.02543287883992921,1,96.65586
549,2,0,24,9,0.0,2,1,1,0.07198102418780992,0,4.8118663
587,2,1,45,6,0.0,1,0,0,0.7934419237037137,0,75.77873
726,1,0,24,6,0.0,2,1,1,0.2735883776900694,0,1.5907094
732,1,1,41,8,0.0,2,1,1,0.8544545504095641,0,1.5996367
636,2,0,32,8,0.0,2,1,0,0.6927855610210775,0,6.406901
510,2,0,38,4,0.0,1,1,0,0.5945665311037204,1,43.75905
669,1,1,46,3,0.0,2,0,1,0.04238489775773586,0,2.2532172
846,1,0,38,5,0.0,1,1,1,0.9381124897427704,0,14.039914
577,1,1,25,3,0.0,2,0,1,0.6225430028567728,0,0.24305533
756,0,1,36,2,0.5453036330408096,1,1,1,0.8502330472560129,0,39.927628
571,1,1,44,9,0.0,2,0,0,0.19212719814742305,0,4.1308627
574,0,0,43,3,0.5633738782148561,1,1,1,0.5009270885369552,0,59.070396
411,1,1,29,0,0.23793393564693938,2,1,1,0.26738368514193106,0,3.7584298
